



"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;206;206;206;56;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";0;197;197;197;37;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";1;471;471;470;299;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;99;99;99;53;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;189;189;189;42;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;187;187;187;43;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;253;253;253;0;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;68;68;68;18;
3;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";1;127;127;126;71;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;202;202;202;35;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;97;97;97;0;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;166;166;166;49;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;89;89;89;44;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;170;170;170;25;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;173;173;173;46;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";1;202;202;201;33;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;656;656;656;433;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;97;97;97;49;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;208;208;208;44;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;192;192;192;37;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;259;259;259;0;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;61;61;61;15;
4;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";0;116;116;116;64;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 03";0;190;190;190;29;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 06";0;111;111;111;0;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 07";0;183;183;183;47;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 13";0;95;95;95;46;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 19";0;188;188;188;24;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 27";0;240;240;240;46;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 42";0;208;208;208;40;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 43";0;462;462;462;262;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 48";0;98;98;98;47;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 52";0;250;250;250;49;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 55";0;212;212;212;45;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 70";0;281;281;281;0;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 96";0;57;57;57;14;
5;"'7.1.0";"'6.1.1";"tpcdsstore3";1;8;8;8;0;0;1;"Query 98";0;119;119;119;62;





